date_start,duration_hrs,description
2021-09-28,0.6,iea-auto dev sesh: review fk-esr full screen issues with Jai
2021-09-30,0.6,ecodata-up checkin
2021-10-03,2.2,"IEA / MBON gallery, strategy"
2021-10-04,1.5,MBON BEF / IEA: coordinate with MBON BEF and present
2021-10-05,0.4,iea-auto dev sesh: fk-esr-info Fullscreen tweaks w/ Jai
2021-10-07,2.1,CA: ecoidx-up Google login enable noaa-iea/ecoidx-up#2 ; CCIEA data & viz: met w/ Nick to discuss strategy (git push vs pull request) for ecoidx-up and ggplot2 functions
2021-10-12,0.7,dev tech reporting strategies (ie Fridays w/ Tehseen) noaa-iea/noaa-iea.github.io#4
2021-10-14,1.3,Shiny: successfully published Rmd doc and Shiny app! ; NOAA FIT Tech: RStudio Connect on publishing Rmd docs and Shiny apps
2021-10-15,0.4,IEA weekly wrapup w/ Jai & plan
2021-10-19,5.5,FKNMS Advisory Council Meeting: Ellen's presentation on fk-esr-info ; ecodata-up#1 get plots loaded based on attributes ; ecodata-up#1 get plots loaded based on attributes ; ecodata-up rollout w/ Kim & Abby + git pull request thru GH Action for kimberly-bastille/ecopull + RStudio Connect ; noaa-iea/fk-esr-info#31 hover label too low w/ Jai
2021-10-20,0.6,send out Google Survey for r3-train
2021-10-21,2,got layout to work w/ drag n drop & table preview of upload/target noaa-iea/ecoidx-up#3 ; CCIEA data & viz
2021-10-25,3,ecodata-up got Excel upload working (from Fri)
2021-10-26,1,NMFS R UG: 508 & RMarkdowon
2021-10-27,0.5,ca-esr-info created new GH repo and outlined next steps in issues w/ Jai
2021-11-02,2,GOA IEA Team Meeting: discuss Sitka infographics w/ latest illustration from Amanda Dillon ; DataUpload.Workplan for ecoidx-up w/ Greg & Lynn
2021-11-03,0.8,"iea-auto dev sesh: met w/ Jai and discussed ak-info w/ email to Marysia, plus Drupal approaches and ecoidx-up latest"
