day,date,hrs,description
Fri,2021-11-19,0.9,IEA weekly wrapup
Thu,2021-11-18,2,#ecoidx-up bucket list shiny app
Tue,2021-11-16,0.3,iea-auto dev sesh w/ Jai on Drupal review
Fri,2021-11-12,2.5,IEA weekly wrapup ; IEA Automation check-in ; CCIEA  ecoidx-up update ; IEA automation chat: Stephanie & Kenric mtg
Thu,2021-11-11,0.8,iea-auto dev sesh
Wed,2021-11-10,1,"RCG  Meeting: meet RCG, Caelum"
Mon,2021-11-08,1,get Sitka infographic online
Fri,2021-11-05,1,#get-clockify update thismo & lastmo
Thu,2021-11-04,4.4,clockify-api for iea-auto time ; @ecoidx-up mix n match  noaa-iea/ecoidx-up#3 ; CCIEA data & viz: discuss ecoidx-up
Wed,2021-11-03,0.8,"iea-auto dev sesh: met w/ Jai and discussed ak-info w/ email to Marysia, plus Drupal approaches and ecoidx-up latest"
Tue,2021-11-02,2,GOA IEA Team Meeting: discuss Sitka infographics w/ latest illustration from Amanda Dillon ; DataUpload.Workplan for ecoidx-up w/ Greg & Lynn
